bugid,title,sen,tid,sid,ann,mylabel,rulelabel
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history""", MattN noticed a problem with the WIP patch from bug 469443 applied.,1,1,1,0,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history"""," When typing in the search box, sometimes search-suggestion entries would be displayed above the divider (where entries for previous matching searches are).",1,2,3,0,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history""", The problem here is that nsSearchSuggestions.js is passing the wrong previousResult to form history.,1,3,3,0,PROBLEM DISCOVERY
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history"""," Instead of it being the previous form history search result, it's the SuggestAutoCompleteResult result (which contains the union of the form-history and search-suggest entries).",1,4,3,0,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history"""," So, when form history refines its results as you time, it can actually add *more* entries as data leaks from the suggestions result into form history result, and it thus looks like the divider is being drawn in the wrong place.",1,5,2,5,FEATURE REQUEST
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history"""," This bug wasn't visible before 469443, because nsFormFillController::StartSearch tries to QI the provided result to a nsIAutoCompleteSimpleResult. ",1,6,1,0,PROBLEM DISCOVERY
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history"""," The search-suggestion result is only implements nsIAutoCompletResult (no \""Simple\""), so the QI fails, historyResult nee previousResult becomes null, and thus Satchel was doing a new search every time.",1,7,2,0,PROBLEM DISCOVERY
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history""", EG:,1,8,1,7,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history"""," 1) type \""b\"" in the search field.",1,9,1,7,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history"""," 2) form history finds 1 entry (\""blah\""), search-suggestions finds \""baaa\"", \""bloop\"", \""bzzz\"", the autocompete menu shows these in order with a divider between \""blah\"" and \""baaa\"".",1,10,1,7,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history"""," 3) type an \""l\"" in the search field (\""bl\"")",1,11,1,7,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history"""," 4) startHistorySearch()'s previous result contains [\""blah\"", \""baaa\"", \""bloop\"", \""bzzz\""], Satchel filters this down to [\""blah\"", \""bloop\""] to match the new \""bl\"" search string",1,12,1,7,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history"""," 5) nsSearchSuggestions's onReadyState() change is called with updated search suggestions, builds up a new list of results, but sees that the form history result now has *two* entries.",1,13,1,7,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history""", Created an attachment (id=380567) [details] Patch v.1 (WIP),2,1,3,6,INFORMATION GIVING
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history"""," This fixes the problem, but isn't quite correct...",2,2,3,2,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history"""," If you type \""a&lt;backspace&gt;b\"", satchel trying to use the results from the \""a\"" search for the \""b\"" search, and so nothing is found. ",2,3,0,0,INFORMATION GIVING
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history"""," I suspect nsSearchSuggestions needs to throw away the old form history result when the search string changes like this, but I'm not entirely sure it's responsible for doing so, maybe satchel should be smarter about throwing away a previous result when the previous result's search string doesn't have a common prefix.",2,4,3,2,FEATURE REQUEST
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history"""," [That seems to be handled somewhere else for normal form field entries, oddly enough.]",2,5,0,2,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history""", Created an attachment (id=383211) [details] Patch v.2,3,1,2,6,INFORMATION GIVING
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history"""," Ah. So, there's a ._formHistoryResult in the SuggestAutoCompleteResult wrapper (used to combine form history with search suggestions), and also a ._formHistoryResult in SuggestAutoComplete (the service itself, used to hold onto a form history result until a search suggestion is available).",3,2,3,0,INFORMATION GIVING
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history""", The simple fix it to just discard the service's form history result copy when startSearch() is called with a null previous result.,3,3,3,1,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history""", Otherwise it's trying to use a old form history result that no longer applies for the search string.,3,4,1,1,INFORMATION GIVING
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history""", (From update of attachment 383211 [details]),4,1,0,6,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history""", Perhaps we should rename one of them to _fhResult just to reduce confusion?,4,2,2,5,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history""", (In reply to comment #3),5,1,0,6,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history""", &gt; (From update of attachment 383211 [details] [details]),5,2,0,6,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history""", &gt; Perhaps we should rename one of them to _fhResult just to reduce confusion?,5,3,0,6,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history""", Good point.,5,4,0,6,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history""", I renamed the one in the wrapper to _formHistResult. ,5,5,2,1,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history""", fhResult seemed maybe a bit too short.,5,6,0,2,NO
1,"""(495584) Firefox - search suggestions passes wrong previous result to form history""", Pushed http://hg.mozilla.org/mozilla-central/rev/097598383614,6,1,2,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, That pref was thought to be for extensions which wanted to completely replace our own Session Restore functionality.,1,1,3,0,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," While this has worked somehow for Tab Mix Plus, we've had several issues with people ending up both Session Restore and Tab Mix Plus disabled (see bug 435055 and its duplicates).",1,2,3,0,PROBLEM DISCOVERY
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," Furthermore, there are several code points which will also break when Session Restore has been disabled (such as the list of recently closed tabs).",1,3,3,0,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," Instead of adding try-catch-blocks wherever we use Session Restore, I'd much rather encourage extensions authors to override both nsSessionStartup and nsSessionStore to provide the same API with their own functionality (or implementing a dummy-API and making sure for themselves that they've correctly replaced all known consumers).",1,4,3,5,FEATURE REQUEST
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, This would also make the lives of those other extension authors simpler who so far can't be too sure that the Session Store component actually works (through whatever implementation).,1,5,2,5,INFORMATION GIVING
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, Note that privacy concerned users will still be able to disable writing to sessionstore.js through the browser.sessionstore.resume_from_crash pref.,1,6,1,5,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, Created an attachment (id=332726) [details] ,2,1,0,6,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, remove the pref,2,2,1,6,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, (note: bug 448725 should be wontfixed if this is fixed),3,1,0,6,FEATURE REQUEST
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, Created an attachment (id=333820) [details],4,1,0,6,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, remove (buggy) note from API comments,4,2,1,6,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, (From update of attachment 332726 [details]),5,1,0,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," a problem with this patch is that the session data is still stored in memory while the app is running, and by removing this pref, there's no way to disable that.",5,2,3,0,PROBLEM DISCOVERY
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," some users do not want the recently-closed-tabs menu, and others don't want any session tracks stored in memory at all.",5,3,3,2,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, (In reply to comment #4),6,1,0,6,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," &gt; some users do not want the recently-closed-tabs menu,",6,2,0,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, That's what browser.sessionstore.max_tabs_undo is for: setting it to 0 effectively disables the feature.,6,3,3,1,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, &gt; and others don't want any session tracks stored in memory at all.,6,4,0,4,INFORMATION GIVING
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," Then again, we don't save any data that wouldn't be in memory, anyway, or do we?",6,5,2,3,INFORMATION SEEKING
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, I'd rather introduce a different pref or different means to cater the privacy sensitive users than have this half-baked cut-it-all pref which AFAICT so far has produced more issues than it's solved.,6,6,3,5,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, (In reply to comment #5),7,1,0,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," &gt; Then again, we don't save any data that wouldn't be in memory, anyway, or do we?",7,2,0,4,INFORMATION SEEKING
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, Fair point. I'm not sure.,7,3,0,6,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, &gt; I'd rather introduce a different pref or different means to cater the privacy sensitive users than have this half-baked cut-it-all pref which AFAICT so far has produced more issues than it's solved.,7,4,0,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," Yes, agreed the pref is not ideal for this purpose.",7,5,2,2,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," So max_tabs_undo=0 + resume_from_crash=false is fine for now, until proper \""private browsing\"" is supported.",7,6,3,2,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, (From update of attachment 332726 [details]),8,1,0,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, &gt;+            // XXXzeniko should't we just disable this item as we disable,8,2,0,4,SOLUTION PROPOSAL
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, &gt;+            // the tabbrowser-multiple items above - for consistency?,8,3,0,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, &gt;+            this.mUndoCloseTabMenuItem.hidden =,8,4,0,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," &gt;+              Cc[\""@mozilla.org/browser/sessionstore;1\""].",8,5,0,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, &gt;+              getService(Ci.nsISessionStore).,8,6,0,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, &gt;+              getClosedTabCount(window) == 0;,8,7,0,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """,1,8,8,1,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, r=me,8,9,0,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, (In reply to comment #7),9,1,0,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, &gt; +1,9,2,0,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, That's bug 350731.,9,3,1,6,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, Care to convince mconnor that he's wrong? ;-),9,4,0,6,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, Pushed as 17120:e712e96d7861 and 17121:adb1ef78dd21.,10,1,0,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, onemen: This patch significantly affects Tab Mix Plus:,11,1,3,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," Instead of disabling SessionStore, you'll now have to replace it by shipping a component which implements the same API.",11,2,3,5,SOLUTION PROPOSAL
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," You should be able to keep that component minimal, though, and just call your own code whenever the API is used.",11,3,1,5,INFORMATION GIVING
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," This will make the lives of people using the SessionStore API (such as Session Manager) somewhat simpler, as they can just use the API without having to worry too much about the implementation behind it.",11,4,2,2,SOLUTION PROPOSAL
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," If you want to offer the option of switching between your and our implementation, see e.g. the ignore-history component of the Torbutton extension for how to overwrite a component with the original still being available internally (so that you can either pass API calls forward or handle them yourself).",11,5,1,5,SOLUTION PROPOSAL
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, Sounds like this has impact for extension authors and so should be documented on MDC,12,1,2,5,FEATURE REQUEST
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, no problem.,13,1,1,6,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, current Tabmix dev-build already not disable SessionStore,13,2,1,2,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," I currently have only one problem , how to disable the restore after restart.",13,3,2,3,PROBLEM DISCOVERY
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," can you add a pref for this, or some other way to do it?",13,4,1,3,FEATURE REQUEST
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, (In reply to comment #12),14,1,0,4,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """," &gt; I currently have only one problem , how to disable the restore after restart.",14,2,0,4,PROBLEM DISCOVERY
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, You've got several options for that:,14,3,1,6,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, * Set the prefs browser.sessionstore.resume_from_crash and browser.sessionstore.resume_session_once both to false as early as possible and make sure that browser.startup.page isn't 3.,14,4,1,1,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, * Delete the file sessionstore.js as early as possible (e.g. when the profile-after-change notification is dispatched).,14,5,1,1,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, * For Firefox 3.1: Respond to the sessionstore-state-read notification by setting the subject's data member to an empty string (cf. bug 448741 comment#6).,14,6,1,1,NO
2,"""(449596) Firefox -  remove the browser.sessionstore.enabled pref """, Or is there a use case I'm missing?,14,7,0,3,PROBLEM DISCOVERY
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," I've noticed that I frequently trigger the rotate gesture accidentally, usually while scrolling.",1,1,3,0,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," Gestures have improved since the original landing (when triggering the wrong gesture was really easy), but this articular gesture is still problematic.",1,2,1,0,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", The basic reasoning is that it's highly disruptive to be switched to another tab when you're not expecting it.,1,3,3,0,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," When it happens, you don't know what just happened until you notice that you're on some entirely different page, that's randomly to the left or right (1 or more tabs) from the page you thought you were on.",1,4,2,0,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," I'm don't think the rotate gesture for switching tabs is nearly as useful, discoverable, or a good fit as the other gestures are.",1,5,2,2,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," So, given this problem, we should just disable it for 3.5. ",1,6,3,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," [I'd also be open to tweaking it to make it much harder to trigger accidentally, dunno if that's possible.]",1,7,2,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", See also bug 461376. ,2,1,0,6,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", Just play around with browser.gesture.twist.* in about:config as a temporary workaround.,2,2,1,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," Justin, the odd thing here is that I find I trigger zoom more frequently than tab rotate ... far far more frequently.",3,1,1,0,INFORMATION GIVING
